Dataset,F1 Score,Precision,Recall,Anomalies
swat,0.7160514242050089,0.8538327846461122,0.6405185547155711,0.1221
swat_all_10,0.6270555281806909,0.706170114423114,0.6158730158730159,0.11699999999999999
swat_all_30,0.6887081437172716,0.8044697575751418,0.6413523615358477,0.12123333333333333
swat_all_50,0.683477818245886,0.7773264427533495,0.6529281989570799,0.1232
swat_all_70,0.6446627189438862,0.6718708468712937,0.6818667822568992,0.12213333333333333
swat_all_90,0.7420805449519667,0.8994829288250651,0.6553489625437887,0.12223333333333335
